District,Block,School Name
ARIYALUR,Andimadam,GHSS VILANDAI ANDIMADAM
ARIYALUR,Ariyalur,GHSS ARIYALUR
ARIYALUR,Jayankondam,GMHSS JAYANKONDAM
ARIYALUR,T.Palur,GHSS T.PALUR
CHENGALPATTU,Kattankolathur,GBHSS NANDHIVARAM
CHENGALPATTU,Kattankolathur,"GGHSS, CHENGALPATTU"
CHENGALPATTU,Lathur,GGHSS CHEYYUR
CHENGALPATTU,Lathur,GHSS KOOVZTHUR
CHENGALPATTU,Madurantagam,GHSS KARUNKUZHI
CHENGALPATTU,Madurantagam,H.S.S.G.G.H.S.S.Madhuranthakam
CHENGALPATTU,St.Thomas Mount,MMA GHSS PALLAVARAM
CHENGALPATTU,Thiruporur,GBHSS THIRUPORUR
CHENGALPATTU,Thiruporur,GHSS KELAMBAKKAM
CHENNAI (EXT. GCC),Adyar,GHSS PERUNGUDI
CHENNAI (EXT. GCC),Anna Nagar,GOVERNMENT MODEL HIGHER SECONDARY SCHOOL
CHENNAI (EXT. GCC),Kodambakkam,GHSS MGR NAGAR
CHENNAI (EXT. GCC),Royapuram South,Govt. Muslim Higher Secondary School
CHENNAI (EXT. GCC),Teynampet,"GMHSS, TRIPLICANE CHENNAI-05"
CHENNAI (EXT. GCC),Thiru Vi Ka Nagar,GMHSS GKM COLONY
CHENNAI (EXT. GCC),Thiruvotriyur,JGGGHSS THIRUVOTRIYUR (JEYAGOPAL GARODIYA)
CHENNAI (EXT. GCC),Tondiarpet,GHSS MKB NAGAR
COIMBATORE,Coimbatore city,CCMA GGHSS RAJA STREET COIMBATORE
COIMBATORE,Coimbatore city,CHSS RS Puram
COIMBATORE,Karamadai,GHSS METTUPALAYAM
COIMBATORE,Kinathukkadavu,GHSS KINATHUKADAVU
COIMBATORE,"Periyanaickan
Palayam",GHSS(MODEL) ASOKAPURAM
COIMBATORE,Pollachi south,MPL Girls HSS
COIMBATORE,Pollachi south,MUNICIPAL (B)HSS POLLACHI
COIMBATORE,Sarkar Samakkulam,GHSS SS KULAM
COIMBATORE,Sulur,GBHSS Sulur
COIMBATORE,Sulur,GGHSS SULUR
COIMBATORE,Thondamuthur,GBHSS THONDAMUTHUR
COIMBATORE,Thondamuthur,GGHSS Thondamuthur
COIMBATORE,Valparai,GHSS VALPARAI
CUDDALORE,Bhuvanagiri,GBHSS BHUVANAGIRI
CUDDALORE,Bhuvanagiri,"GMGHSS, Bhuvanagiri"
CUDDALORE,Cuddalore,GHSS VANDIPALAYAM
CUDDALORE,Kattumannarkoil,GBHSS KATTUMANARKOIL
CUDDALORE,Kattumannarkoil,"GGHSS, Kattumannarkoil"
CUDDALORE,Kumaratchi,"ADW Nanthanar Boys School, Chidambaram"
CUDDALORE,Kumaratchi,GGHSS CHIDAMBARAM
CUDDALORE,Kurinjipadi,GGHSS KURINJIPADI
CUDDALORE,Kurinjipadi,"GHSS, Kullanchavadi"
CUDDALORE,Mangalore,"GMHSS, M. Podaiyur"
CUDDALORE,Panruti,GHSS PANRUTI
CUDDALORE,Virudhachalam,GBHSS VIRUDHACHALAM
CUDDALORE,Virudhachalam,"GMGHSS, Virudhachalam"
DHARMAPURI,Dharmapuri,AVVAIYAR GGHSS DHARMAPURI
DHARMAPURI,Dharmapuri,"Adhiyaman GBHSS, Dharmapuri"
DHARMAPURI,Harur,GBHSS HARUR
DHARMAPURI,Harur,"GGHSS, Harur"
DHARMAPURI,Palacode,GBHSS PALACODU
DHARMAPURI,Palacode,"GGHSS, Palacode"
